Date,Open,High,Low,Close,Volume,WMA_10,WMA_30
2009-06-14,93.83999633789062,96.11000061035156,93.04000091552734,95.08000183105469,1219567000,90.03100051879883,85.46399993896485
2009-06-21,93.95999908447266,94.0199966430664,90.83000183105469,92.04000091552734,1102335400,90.65400085449218,85.88133341471354
2009-06-28,91.13999938964844,92.23999786376953,88.8499984741211,91.83999633789062,1098791100,91.13000030517578,85.93966674804688
2009-07-05,92.11000061035156,93.2300033569336,89.76000213623047,89.80999755859375,782720500,91.44499969482422,86.00233332316081
2009-07-12,88.94000244140625,89.93000030517578,87.0,87.95999908447266,956936900,91.45199966430664,85.96800003051757
2009-07-19,88.30999755859375,94.51000213623047,87.58999633789062,94.12999725341797,989515000,91.56699905395507,86.16599985758464
2009-07-26,94.68000030517578,98.13999938964844,94.19000244140625,98.05999755859375,990764400,92.50199890136719,86.52933298746744
2009-08-02,97.87999725341797,99.83000183105469,96.9800033569336,98.80999755859375,973277300,93.48099899291992,86.72433293660482
2009-08-09,99.8499984741211,102.02999877929688,99.30999755859375,101.19999694824219,951062600,94.34799880981446,87.12799962361653
2009-08-16,100.73999786376953,101.61000061035156,99.45999908447266,100.79000091552734,883317700,94.97199859619141,87.65233306884765
2009-08-23,98.8499984741211,103.12999725341797,98.11000061035156,102.97000122070312,1002678100,95.76099853515625,88.31433308919271
2009-08-30,103.38999938964844,104.3499984741211,101.94000244140625,103.37999725341797,944464800,96.8949981689453,88.99933293660482
2009-09-06,102.37000274658203,103.23999786376953,99.56999969482422,102.05999755859375,955393600,97.91699829101563,89.50199940999349
2009-09-13,103.0,105.30000305175781,102.38999938964844,104.7699966430664,602784100,99.41299819946289,90.23566589355468
2009-09-20,103.87999725341797,108.05999755859375,103.1500015258789,106.72000122070312,935766000,101.28899841308593,91.21233266194662
2009-09-27,105.88999938964844,108.02999877929688,104.08999633789062,104.44999694824219,953661900,102.32099838256836,92.22966588338217
2009-10-04,104.8499984741211,107.0199966430664,101.98999786376953,102.48999786376953,1012992100,102.76399841308594,93.34866587320964
2009-10-11,102.9000015258789,107.26000213623047,102.5999984741211,107.26000213623047,829880500,103.6089988708496,94.38766606648763
2009-10-18,107.76000213623047,109.70999908447266,106.76000213623047,108.88999938964844,833088300,104.37799911499023,95.46033274332682
